term,sector,n_obs,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
Intercept,Broad_Market,15,0.21703181762164128,1.242383631201211,0.14980295031797108,10.303649452834172,0.8406372857589882
has_profit_targets,Broad_Market,15,17.26226288235992,31398255.196995668,0.0,inf,0.9935488880846224
has_pyramiding,Broad_Market,15,1.3369372044369612,3.8073644502719337,0.19144943210331755,75.7172476195781,0.3808394272028235
trades,Broad_Market,15,-0.006305790886956444,0.9937140488886688,0.9798314485624162,1.007793342832075,0.37968883858296876
Intercept,Consumer_Disc,34,-0.8764212253666845,0.4162699856083064,0.04633173508681584,3.740000252389607,0.43398236093580767
C(asset_type)[T.Stock],Consumer_Disc,34,1.0340189276733989,2.812345767130888,0.3510920823577691,22.527676103613512,0.33005342502770463
has_profit_targets,Consumer_Disc,34,7.945966074785689,2824.15949321504,4.929541279164271e-37,1.6179754649440305e+43,0.8649162881513972
has_pyramiding,Consumer_Disc,34,0.7287500753001106,2.0724885334545937,0.16917892955865518,25.388555965603288,0.5686340384840016
trades,Consumer_Disc,34,0.027486882920926554,1.0278681323912562,0.9930027829536633,1.0639576401215276,0.11848801502183386
Intercept,Consumer_Staples,34,-12.181431840486932,5.12473449319865e-06,1.2682316640756685e-42,2.0708285693939887e+31,0.7769837333095289
C(asset_type)[T.Stock],Consumer_Staples,34,11.833155342485316,137744.43714334132,3.630987770854132e-32,5.225445845958482e+41,0.7830398173503932
has_profit_targets,Consumer_Staples,34,9.538028128159343,13877.555865307431,3.714139163344969e-33,5.185227271378898e+40,0.8243202840262458
has_pyramiding,Consumer_Staples,34,11.238091862146806,75969.85243977878,1.9860492093773454e-32,2.905979596311786e+41,0.7937171124677558
trades,Consumer_Staples,34,0.04061956376880955,1.0414558226419548,0.9793562997288212,1.1074929837232468,0.19533617905738565
Intercept,Energy,34,-3.0307801529883758,0.048277959236158796,0.0010959790135174662,2.1266477909351553,0.11658382682944006
C(asset_type)[T.Stock],Energy,34,-2.0742137886621386,0.1256551801951939,0.022203905470285164,0.7111012218556284,0.019001819472897658
has_profit_targets,Energy,34,-0.8461107912252837,0.42908047457459575,0.029956198154918734,6.145975290623782,0.5332899905804362
has_pyramiding,Energy,34,-0.7418668534161563,0.47622404466561524,0.040214472251167754,5.639495634835599,0.5563434733696212
trades,Energy,34,0.08196602887062321,1.085418936296122,0.9903569611277113,1.189605681095706,0.07964370971488659
Intercept,Financials,34,1.7414326932391546,5.705511818080022,0.44335676069571006,73.42363530257045,0.1815601573229627
C(asset_type)[T.Stock],Financials,34,-0.7515424480989285,0.47163851347547514,0.09768122933688791,2.2772326771828775,0.3495149192333381
has_profit_targets,Financials,34,1.4911171481256755,4.442055181769331,0.5789126793153567,34.084335933390456,0.1515100487597611
has_pyramiding,Financials,34,2.7171501849071777,15.137122718075053,1.2077383322522242,189.7203045255434,0.03518015318903611
trades,Financials,34,-0.033517068039765424,0.9670384056405821,0.925160260928471,1.0108121992241315,0.13784646191130087
Intercept,Healthcare,34,13.136223286050333,506978.2012314844,0.020011119913048228,12844203504888.195,0.1309759037912356
C(asset_type)[T.Stock],Healthcare,34,3.0117669606525332,20.323278651464893,0.018262174961650935,22617.002411401114,0.4000604674351045
has_profit_targets,Healthcare,34,6.463215883710236,641.1195107117645,1.7335792712928971e-09,237101489283928.72,0.6343741111501751
has_pyramiding,Healthcare,34,5.679590308813806,292.82943570507564,1.1317045078396306e-09,75769847889926.84,0.6718588748452159
trades,Healthcare,34,-0.17907946206396103,0.8360394633361876,0.6664794936727719,1.0487374193670795,0.12150588246535744
Intercept,Industrials,34,1.766848623051908,5.8523812110757545,0.24972350935923376,137.15314960788277,0.27226074665018474
C(asset_type)[T.Stock],Industrials,34,17.47285231792624,38758177.27399021,0.0,inf,0.9942093714483073
has_profit_targets,Industrials,34,15.930356607171746,8288309.676050857,0.0,inf,0.990147029485835
has_pyramiding,Industrials,34,13.9066109074137,1095378.9204149873,0.0,inf,0.9785317205692757
trades,Industrials,34,-0.028204131793048624,0.9721898916786227,0.923797663664986,1.0231170987512377,0.2789546379068182
Intercept,Materials,15,2.495853220526448,12.132080443920476,0.5732511826045089,256.7589572672605,0.10900915136911621
has_profit_targets,Materials,15,-17.932508974198466,1.6293346963571267e-08,0.0,inf,0.9933101760317659
has_pyramiding,Materials,15,-2.5963399982414432,0.07454591771873234,0.0029985792566747252,1.8532422767075882,0.11327145692905276
trades,Materials,15,-0.009364212674305341,0.9906794950293921,0.9761577321625985,1.005417290192823,0.21391063101379282
Intercept,Real_Estate,34,-36.05878425689299,2.1871016744998874e-16,0.0,inf,0.9996152733537701
C(asset_type)[T.Stock],Real_Estate,34,35.45739364072751,2505823055940569.5,0.0,inf,0.9996216898478864
has_profit_targets,Real_Estate,34,12.296124364623598,218846.17497412415,2.434782319439023e-133,1.9670607889020954e+143,0.9395229027683413
has_pyramiding,Real_Estate,34,1.8017633131544644,6.060324297900854,0.42216464581658913,86.99812018764797,0.18499343802479562
trades,Real_Estate,34,-0.002462691025214866,0.9975403389105524,0.9367457001426331,1.0622805395341162,0.9388137121447052
Intercept,Technology,51,-0.49612714331835855,0.6088842205909506,0.061173391340546085,6.060478027460949,0.6721768545269573
C(asset_type)[T.Stock],Technology,51,1.2619001464085147,3.5321266727426024,0.5982297344493674,20.854728733574266,0.16366138174397638
has_profit_targets,Technology,51,12.099434806864979,179770.22863603884,5.4885286781277e-127,5.888160015021921e+136,0.937580873786031
has_pyramiding,Technology,51,12.54035292073238,279386.9229687484,2.450093294521752e-156,3.18588083565958e+166,0.9471573367324481
trades,Technology,51,0.003750204755327265,1.0037572455719308,0.9782035659025611,1.0299784657895115,0.775621131447854
Intercept,Utilities,34,6.494524311741576,661.5094781633153,0.0,inf,0.9994475297713549
C(asset_type)[T.Stock],Utilities,34,39.02081486595661,8.841471994937773e+16,0.0,inf,0.9961963567327884
has_profit_targets,Utilities,34,0.2109163807957859,1.234809096990229,0.0,inf,0.9999999999996722
has_pyramiding,Utilities,34,-7.320090809184593,0.0006621020835319224,0.0,inf,0.9999740957563181
trades,Utilities,34,-3.491469823635345,0.03045607419902582,0.0,inf,0.9961594243020746
