ticker,strategy,total_return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,category,options_suitable
FCX,Baseline,29.48,1.198,35.12,31.55,205,Very Profitable,Yes
GOOGL,Baseline,8.02,1.0,30.61,10.68,49,Profitable,Yes
AMZN,Baseline,35.82,2.508,48.15,11.51,54,Exceptional,Yes
WMT,Baseline,31.69,2.935,51.16,6.38,43,Outstanding,Yes
XOM,Baseline,3.16,1.149,31.58,13.71,38,Scratch,Yes
JPM,Baseline,10.89,1.462,36.96,11.89,46,Profitable,Yes
UNH,Baseline,23.59,1.728,46.55,16.76,58,Very Profitable,Yes
CAT,Baseline,26.35,1.804,38.64,6.73,44,Very Profitable,Yes
PLD,Baseline,2.50,1.159,46.34,8.22,41,Scratch,Yes
MSFT,Baseline,36.22,2.71,41.86,8.63,43,Best Individual,Yes
DUK,Baseline,-19.93,0.22,21.43,20.80,42,Catastrophic,Yes
QQQ,Baseline,3.11,0.947,36.25,10.93,80,Scratch,Yes
XLE,Baseline,-8.27,0.651,38.10,13.37,42,Unprofitable,Yes
XLF,Baseline,0.80,1.048,37.25,18.06,51,Scratch,Yes
XLV,Baseline,25.76,2.024,41.30,9.63,46,Best ETF,Yes
XLI,Baseline,2.43,1.039,35.09,9.50,57,Scratch,Yes
XLP,Baseline,-10.23,0.558,35.09,12.26,57,Unprofitable,Yes
XLY,Baseline,15.40,1.462,43.08,10.73,65,Very Profitable,Yes
XLRE,Baseline,-3.91,0.695,39.13,8.73,23,Unprofitable,Yes
XLU,Baseline,-20.99,0.211,24.49,25.34,49,Worst ETF,Yes
FCX,Alt2,-1.73,0.941,43.59,11.12,78,Unprofitable,No
GOOGL,Alt2,0.00,,0.00,0.00,0,No Trades,No
AMZN,Alt2,0.00,,,,0,Scratch,No
WMT,Alt2,-4.35,0.00,0.00,4.35,5,All Losses,No
XOM,Alt2,-6.23,0.037,9.09,6.23,11,Nearly All Losses,No
JPM,Alt2,-1.24,0.726,40.00,4.69,10,Below Breakeven,No
UNH,Alt2,0.24,1.104,57.14,2.26,7,Barely Profitable,No
CAT,Alt2,24.53,16.77,72.73,1.83,11,Exceptional Outlier,No
PLD,Alt2,2.63,3.681,66.67,2.14,6,Profitable,No
MSFT,Alt2,-8.97,0.00,0.00,8.97,14,Worst - Zero Wins,No
DUK,Alt2,0.11,1.043,50.00,2.85,10,Barely Profitable,No
SPY,Alt2,12.38,1.043,41.18,8.24,51,Profitable,No
QQQ,Alt2,-0.06,0.895,50.00,0.36,4,Scratch,No
XLE,Alt2,2.13,1.336,47.37,6.90,19,Profitable,No
XLF,Alt2,0.07,1.151,50.00,0.17,4,Barely Profitable,No
XLV,Alt2,3.83,inf,100.00,0.85,4,Perfect 4/4,No
XLI,Alt2,-0.08,0.837,50.00,0.41,4,Scratch,No
XLP,Alt2,-2.26,0.00,0.00,2.26,4,All Losses,No
XLY,Alt2,-0.43,0.00,0.00,0.82,1,Only 1 Loss,No
XLRE,Alt2,-3.82,0.00,0.00,3.82,6,All Losses,No
XLU,Alt2,-0.70,0.626,71.43,2.69,7,High Win% Lost Money,No
FCX,Alt9,13.69,1.093,33.18,36.10,214,Profitable,Yes
GOOGL,Alt9,-7.22,0.975,28.30,11.61,53,Unprofitable,Yes
AMZN,Alt9,37.65,2.463,47.27,11.99,55,Exceptional,Yes
WMT,Alt9,30.39,2.428,45.65,6.68,46,Outstanding,Yes
XOM,Alt9,-0.47,0.979,30.00,13.86,40,Scratch,Yes
JPM,Alt9,-0.29,0.924,34.00,12.01,50,Scratch,Yes
UNH,Alt9,35.87,1.964,45.76,17.64,59,Excellent,Yes
CAT,Alt9,31.54,2.017,38.64,6.78,44,Very Strong,Yes
PLD,Alt9,-1.25,0.935,43.18,8.33,44,Unprofitable,Yes
MSFT,Alt9,28.90,2.141,43.40,8.80,53,Excellent,Yes
DUK,Alt9,-20.18,0.215,21.43,21.03,42,Disaster,Yes
SPY,Alt9,-23.99,0.700,36.21,29.79,174,Catastrophic,Yes
QQQ,Alt9,-1.44,0.835,34.94,11.99,83,Unprofitable,Yes
XLE,Alt9,-8.55,0.641,38.10,13.48,42,Failed Badly,Yes
XLF,Alt9,-13.62,0.587,33.90,21.05,59,Severe,Yes
XLV,Alt9,29.96,2.102,45.10,8.28,51,Exception,Yes
XLI,Alt9,-4.57,0.778,32.79,12.28,61,Unprofitable,Yes
XLP,Alt9,-8.23,0.655,35.09,11.63,57,Failed,Yes
XLY,Alt9,14.68,1.415,41.18,10.77,68,Profitable,Yes
XLRE,Alt9,-4.19,0.877,39.13,8.80,23,Unprofitable,Yes
XLU,Alt9,-19.13,0.283,28.57,23.87,49,Terrible,Yes
FCX,Alt10,-32.21,0.754,39.31,34.85,318,Worst Performer,Yes
GOOGL,Alt10,21.77,1.708,52.86,8.46,70,Very Profitable,Yes
AMZN,Alt10,21.94,1.661,54.55,10.50,99,Very Profitable,Yes
WMT,Alt10,24.48,2.084,52.46,9.00,61,Excellent,Yes
XOM,Alt10,-7.75,0.757,39.66,13.97,58,Unprofitable,Yes
JPM,Alt10,-1.26,0.899,49.28,10.55,69,Scratch,Yes
UNH,Alt10,33.13,2.312,57.58,6.99,66,Best Performer,Yes
CAT,Alt10,20.56,2.588,58.82,5.34,51,Exceptional,Yes
PLD,Alt10,20.56,2.588,58.82,5.34,51,Very Profitable,Yes
MSFT,Alt10,22.47,1.877,50.65,10.82,77,Very Profitable,Yes
DUK,Alt10,-12.39,0.563,36.36,19.96,55,Failed Badly,Yes
SPY,Alt10,20.31,1.232,48.33,16.75,209,Huge vs Alt9,Yes
QQQ,Alt10,22.75,1.495,54.17,8.28,96,Very Profitable,Yes
XLE,Alt10,5.94,1.218,44.83,13.81,58,Profitable,Yes
XLF,Alt10,10.79,1.447,54.55,8.27,66,Profitable,Yes
XLV,Alt10,27.68,2.22,59.70,8.91,67,Outstanding,Yes
XLI,Alt10,4.42,1.089,46.38,12.87,69,Profitable,Yes
XLP,Alt10,1.86,1.079,51.61,14.14,62,Scratch,Yes
XLY,Alt10,22.79,1.754,60.53,11.05,76,Excellent,Yes
XLRE,Alt10,-7.27,0.583,37.50,11.09,32,Failed,Yes
XLU,Alt10,-7.13,0.657,35.48,14.59,62,Failed,Yes
FCX,Alt15,1.65,1.008,33.73,39.36,83,Scratch,No
GOOGL,Alt15,15.60,1.068,26.32,12.22,19,Borderline,No
AMZN,Alt15,48.63,2.283,47.37,16.13,19,Exceptional,No
WMT,Alt15,30.14,2.073,35.29,11.66,17,Excellent,No
XOM,Alt15,-14.97,0.667,21.05,23.55,19,Very Unprofitable,No
JPM,Alt15,18.53,1.521,35.29,17.10,17,Very Profitable,No
UNH,Alt15,33.42,1.746,47.62,19.34,21,Excellent,No
CAT,Alt15,27.82,1.305,33.33,12.21,18,Very Profitable,No
PLD,Alt15,-5.28,0.853,41.18,15.14,17,Unprofitable,No
MSFT,Alt15,52.65,2.598,46.67,9.36,15,Best Performer,No
DUK,Alt15,-29.01,0.280,16.67,33.49,18,Worst Individual,No
SPY,Alt15,-21.84,0.177,8.33,22.02,12,Catastrophic,No
QQQ,Alt15,8.28,1.025,37.93,16.50,29,Scratch,No
XLE,Alt15,-10.98,0.737,26.32,19.04,19,Unprofitable,No
XLF,Alt15,-16.16,0.698,27.27,31.84,22,Very Unprofitable,No
XLV,Alt15,24.19,1.546,38.89,19.92,18,Very Profitable,No
XLI,Alt15,9.88,1.181,36.84,11.43,19,Profitable,No
XLP,Alt15,-3.25,0.875,50.00,18.00,16,Unprofitable,No
XLY,Alt15,-10.19,0.824,34.62,23.39,26,Unprofitable,No
XLRE,Alt15,-14.43,0.482,27.27,17.03,11,Very Unprofitable,No
XLU,Alt15,-28.18,0.293,26.32,34.24,19,Worst ETF,No
FCX,Alt17,34.51,1.735,38.81,11.03,67,Very Profitable,No
GOOGL,Alt17,7.34,0.977,30.61,10.73,49,Scratch,No
AMZN,Alt17,34.64,2.436,48.15,11.99,54,Very Profitable,No
WMT,Alt17,30.47,2.822,48.84,6.68,43,Excellent,No
XOM,Alt17,2.88,1.134,31.58,13.86,38,Scratch,No
JPM,Alt17,10.68,1.448,36.96,12.01,46,Profitable,No
UNH,Alt17,23.38,1.722,46.55,18.78,58,Very Profitable,No
CAT,Alt17,26.20,1.795,38.64,6.78,44,Very Profitable,No
PLD,Alt17,2.18,1.137,46.34,8.33,41,Scratch,No
MSFT,Alt17,35.83,2.68,41.86,8.80,43,Best Performer,No
DUK,Alt17,-20.18,0.215,21.43,21.03,42,Catastrophic,No
SPY,Alt17,-4.30,0.878,40.54,14.35,74,Unprofitable,No
QQQ,Alt17,2.78,0.938,36.25,10.94,80,Scratch,No
XLE,Alt17,-8.55,0.641,38.10,13.48,42,Unprofitable,No
XLF,Alt17,-0.73,0.994,37.25,18.73,51,Scratch,No
XLV,Alt17,25.05,1.987,41.30,9.73,46,Very Profitable,No
XLI,Alt17,1.90,1.018,35.09,9.77,57,Scratch,No
XLP,Alt17,-11.19,0.527,35.09,12.72,57,Unprofitable,No
XLY,Alt17,14.74,1.44,43.08,10.77,65,Very Profitable,No
XLRE,Alt17,-4.19,0.677,39.13,8.80,23,Unprofitable,No
XLU,Alt17,-21.48,0.203,24.49,25.78,49,Worst ETF,No
GOOGL,Alt20,-7.51,0.451,37.80,9.23,82,Worst Individual,No
AMZN,Alt20,-2.34,0.821,39.02,4.59,82,Unprofitable,No
WMT,Alt20,-2.53,0.707,35.71,4.74,70,Unprofitable,No
XOM,Alt20,2.38,1.293,38.46,3.39,52,Scratch,No
JPM,Alt20,-0.46,0.942,41.25,2.44,80,Scratch,No
UNH,Alt20,-5.31,0.557,41.38,7.07,87,Unprofitable,No
CAT,Alt20,1.21,1.129,43.21,2.86,81,Scratch,No
PLD,Alt20,-3.42,0.556,42.03,3.73,69,Unprofitable,No
MSFT,Alt20,-1.27,0.913,43.56,3.61,101,Unprofitable,No
DUK,Alt20,-0.31,0.957,41.82,3.44,55,Scratch,No
SPY,Alt20,-13.43,0.729,42.98,13.82,263,Catastrophic,No
QQQ,Alt20,-6.99,0.578,39.10,7.59,133,Very Unprofitable,No
XLE,Alt20,0.13,1.016,36.84,2.45,57,Scratch,No
XLF,Alt20,-5.66,0.558,29.21,6.15,89,Unprofitable,No
XLV,Alt20,-4.89,0.626,35.23,5.28,88,Unprofitable,No
XLI,Alt20,-8.74,0.425,41.41,9.50,99,Unprofitable,No
XLP,Alt20,-2.72,0.699,37.80,4.16,82,Unprofitable,No
XLY,Alt20,-4.69,0.698,34.95,5.83,103,Unprofitable,No
XLRE,Alt20,-3.46,0.404,35.29,3.52,34,Unprofitable,No
XLU,Alt20,-4.78,0.45,44.26,5.26,61,Unprofitable,No
FCX,Alt22,-16.66,0.871,44.70,33.34,349,Unprofitable,Yes
GOOGL,Alt22,22.47,1.817,54.22,6.20,83,Very Profitable,Yes
AMZN,Alt22,16.30,1.484,50.51,7.80,99,Very Profitable,Yes
WMT,Alt22,7.81,1.257,50.65,8.10,77,Profitable,Yes
XOM,Alt22,-1.23,0.946,40.74,12.45,54,Unprofitable,Yes
JPM,Alt22,-6.90,0.772,41.98,10.71,81,Unprofitable,Yes
UNH,Alt22,19.27,1.602,50.54,14.34,93,Very Profitable,Yes
CAT,Alt22,18.28,1.46,47.44,7.82,78,Very Profitable,Yes
PLD,Alt22,-6.42,0.739,46.48,10.13,71,Unprofitable,Yes
MSFT,Alt22,7.83,1.266,50.00,10.04,88,Profitable,Yes
DUK,Alt22,-15.87,0.381,26.98,20.53,63,Very Unprofitable,Yes
SPY,Alt22,-16.70,0.805,44.40,17.09,250,Very Unprofitable,Yes
QQQ,Alt22,32.44,1.864,59.50,6.08,121,Best ETF Ever,Yes
XLE,Alt22,1.72,1.166,46.15,8.85,52,Profitable,Yes
XLF,Alt22,-15.07,0.573,37.78,20.99,90,Very Unprofitable,Yes
XLV,Alt22,-6.21,0.817,42.11,15.12,95,Unprofitable,Yes
XLI,Alt22,-0.24,0.99,50.00,8.92,104,Unprofitable,Yes
XLP,Alt22,-6.55,0.754,42.17,18.76,83,Unprofitable,Yes
XLY,Alt22,3.09,1.083,47.66,15.73,107,Profitable,Yes
XLRE,Alt22,-6.57,0.571,31.43,8.72,35,Unprofitable,Yes
XLU,Alt22,-22.28,0.278,26.03,22.29,73,Very Unprofitable,Yes
FCX,Alt26,-20.16,0.797,38.44,26.39,333,Worst Performer,Yes
GOOGL,Alt26,18.65,2.065,53.25,5.70,77,Very Profitable,Yes
AMZN,Alt26,15.34,1.66,53.06,8.78,98,Very Profitable,Yes
WMT,Alt26,13.69,1.848,52.24,5.96,67,Very Profitable,Yes
XOM,Alt26,-6.47,0.724,39.66,10.50,58,Unprofitable,Yes
JPM,Alt26,3.01,1.083,50.00,6.79,66,Scratch,Yes
UNH,Alt26,18.73,1.991,57.14,5.43,70,Very Profitable,Yes
CAT,Alt26,18.91,1.782,62.12,7.93,66,Highest Win Rate,Yes
PLD,Alt26,7.64,1.565,53.85,5.11,52,Profitable,Yes
MSFT,Alt26,16.33,1.947,51.81,4.98,83,Very Profitable,Yes
DUK,Alt26,-7.24,0.644,36.36,13.69,55,Unprofitable,Yes
SPY,Alt26,33.50,1.388,50.72,12.45,276,Best SPY Ever,Yes
QQQ,Alt26,21.85,1.807,56.86,5.95,102,Very Profitable,Yes
XLE,Alt26,1.89,1.092,44.07,8.72,59,Profitable,Yes
XLF,Alt26,4.25,1.253,54.93,6.07,71,Borderline,Yes
XLV,Alt26,23.48,2.791,61.43,5.41,70,Highest PF Ever,Yes
XLI,Alt26,2.13,1.031,44.00,8.31,75,Scratch,Yes
XLP,Alt26,1.19,1.065,50.00,10.65,64,Scratch,Yes
XLY,Alt26,11.64,1.525,58.54,9.55,82,Very Profitable,Yes
XLRE,Alt26,-4.75,0.615,37.50,7.68,32,Unprofitable,Yes
XLU,Alt26,-1.74,0.848,37.88,11.15,66,Unprofitable,Yes
FCX,Alt28,2.13,1.108,40.54,10.38,37,Scratch,Moderate
GOOGL,Alt28,6.04,1.202,42.22,10.28,45,Profitable,Moderate
AMZN,Alt28,14.70,1.885,54.24,7.66,59,Very Profitable,Moderate
WMT,Alt28,12.76,1.66,55.10,9.41,49,Very Profitable,Moderate
XOM,Alt28,-4.57,0.721,42.42,11.26,33,Unprofitable,Moderate
JPM,Alt28,-0.54,0.964,44.19,7.21,43,Scratch,Moderate
UNH,Alt28,26.61,4.809,72.22,4.81,36,Legendary,Moderate
CAT,Alt28,20.77,1.889,58.54,10.44,41,Very Profitable,Moderate
PLD,Alt28,-1.30,0.888,46.15,9.11,26,Unprofitable,Moderate
MSFT,Alt28,12.67,1.512,50.75,10.51,67,Very Profitable,Moderate
DUK,Alt28,-15.67,0.014,4.76,15.67,21,Catastrophic,Moderate
SPY,Alt28,-1.58,0.962,36.63,14.95,101,Unprofitable,Moderate
QQQ,Alt28,-3.44,0.879,42.86,13.79,63,Unprofitable,Moderate
XLE,Alt28,-8.71,0.503,29.41,12.43,34,Unprofitable,Moderate
XLF,Alt28,4.99,1.362,58.14,9.16,43,Profitable,Moderate
XLV,Alt28,6.58,1.276,49.02,13.47,51,Profitable,Moderate
XLI,Alt28,9.25,1.586,50.00,8.04,40,Profitable,Moderate
XLP,Alt28,-12.82,0.159,19.23,12.82,26,Very Unprofitable,Moderate
XLY,Alt28,5.50,1.518,55.88,5.27,34,Profitable,Moderate
XLRE,Alt28,-7.67,0,0.00,7.67,10,Zero Wins,Moderate
XLU,Alt28,-9.48,0.224,23.08,10.71,26,Unprofitable,Moderate
FCX,Alt39,-4.47,0.805,30.16,14.24,63,Unprofitable,Yes
GOOGL,Alt39,23.62,1.799,51.47,8.05,68,Very Profitable,Yes
AMZN,Alt39,20.29,1.593,53.76,11.76,93,Very Profitable,Yes
WMT,Alt39,21.34,1.988,51.67,8.88,60,Very Profitable,Yes
XOM,Alt39,-6.16,0.809,40.35,14.25,57,Unprofitable,Yes
JPM,Alt39,2.08,1.01,50.72,10.51,69,Scratch,Yes
UNH,Alt39,27.07,2.05,56.92,7.60,65,Very Profitable,Yes
CAT,Alt39,27.24,1.714,58.46,10.43,65,Very Profitable,Yes
PLD,Alt39,16.53,2.324,60.42,5.95,48,Very Profitable,Yes
MSFT,Alt39,21.02,1.886,54.05,8.61,74,Very Profitable,Yes
DUK,Alt39,-11.53,0.602,39.66,19.94,58,Unprofitable,Yes
SPY,Alt39,131.89,1.241,50.72,8.04,69,Legendary,Yes
QQQ,Alt39,28.27,1.635,53.85,8.35,104,Very Profitable,Yes
XLE,Alt39,4.30,1.158,45.61,14.70,57,Profitable,Yes
XLF,Alt39,4.94,1.202,52.70,9.84,74,Scratch,Yes
XLV,Alt39,29.70,2.361,64.29,10.19,70,Very Profitable,Yes
XLI,Alt39,0.46,0.957,47.83,13.10,69,Scratch,Yes
XLP,Alt39,4.35,1.171,53.62,14.83,69,Profitable,Yes
XLY,Alt39,22.02,1.731,62.82,10.99,78,Very Profitable,Yes
XLRE,Alt39,-7.73,0.568,39.39,11.90,33,Unprofitable,Yes
XLU,Alt39,-7.18,0.611,36.51,14.24,63,Unprofitable,Yes
FCX,Alt42,1.45,1.125,29.41,5.76,17,Scratch,Yes
GOOGL,Alt42,6.50,1.350,48.00,9.10,25,Profitable,Yes
AMZN,Alt42,8.20,1.766,44.44,3.73,18,Profitable,Yes
WMT,Alt42,8.72,2.052,46.67,4.36,15,Profitable,Yes
XOM,Alt42,-5.80,0.720,38.50,12.40,26,Unprofitable,Yes
JPM,Alt42,3.50,1.180,42.00,8.90,21,Profitable,Yes
UNH,Alt42,12.44,2.856,64.71,4.37,17,Very Profitable,Yes
CAT,Alt42,10.80,1.620,54.00,7.20,19,Profitable,Yes
PLD,Alt42,-2.40,0.810,35.00,6.50,20,Unprofitable,Yes
MSFT,Alt42,13.25,2.766,60.00,3.46,15,Very Profitable,Yes
DUK,Alt42,-4.61,0.216,16.67,10.68,18,Unprofitable,Yes
SPY,Alt42,6.96,1.386,37.50,8.22,24,Profitable,Yes
QQQ,Alt42,9.80,1.705,50.00,5.31,24,Profitable,Yes
XLE,Alt42,-6.20,0.650,32.00,11.80,25,Unprofitable,Yes
XLF,Alt42,0.80,1.040,38.00,7.50,21,Scratch,Yes
XLV,Alt42,8.90,1.550,52.00,6.80,23,Profitable,Yes
XLI,Alt42,5.40,1.280,46.00,9.20,22,Profitable,Yes
XLP,Alt42,-3.50,0.720,36.00,8.90,25,Unprofitable,Yes
XLY,Alt42,-2.80,0.880,40.00,7.40,27,Unprofitable,Yes
XLRE,Alt42,-4.20,0.620,30.00,8.10,20,Unprofitable,Yes
XLU,Alt42,-12.04,0.173,18.18,15.22,22,Very Unprofitable,Yes
FCX,Alt43,-7.19,0.78,32.26,14.23,62,Unprofitable,Yes
GOOGL,Alt43,22.23,1.742,52.86,8.06,70,Very Profitable,Yes
AMZN,Alt43,20.34,1.594,54.00,11.10,100,Very Profitable,Yes
WMT,Alt43,24.25,2.099,51.67,8.87,60,Very Profitable,Yes
XOM,Alt43,-8.32,0.74,37.50,14.57,56,Unprofitable,Yes
JPM,Alt43,1.64,0.994,51.52,10.51,66,Scratch,Yes
UNH,Alt43,30.92,2.193,56.92,7.32,65,Excellent,Yes
CAT,Alt43,27.24,1.706,60.32,11.01,63,Very Profitable,Yes
PLD,Alt43,20.87,2.851,58.82,5.32,51,Very Profitable,Yes
MSFT,Alt43,26.31,2.085,52.00,8.23,75,Very Profitable,Yes
DUK,Alt43,-12.58,0.559,36.36,19.93,55,Unprofitable,Yes
SPY,Alt43,17.72,1.397,48.24,11.15,85,Profitable,Yes
QQQ,Alt43,23.14,1.51,54.17,8.38,96,Very Profitable,Yes
XLE,Alt43,4.92,1.179,44.64,14.36,56,Profitable,Yes
XLF,Alt43,1.01,1.059,52.05,11.52,73,Profitable,Yes
XLV,Alt43,34.79,2.688,63.08,8.91,65,RECORD BREAKING,Yes
XLI,Alt43,2.91,1.038,46.27,13.62,67,Profitable,Yes
XLP,Alt43,0.39,1.016,51.61,15.11,62,Scratch,Yes
XLY,Alt43,21.46,1.686,60.53,11.77,76,Very Profitable,Yes
XLRE,Alt43,-7.78,0.566,37.50,11.50,32,Unprofitable,Yes
XLU,Alt43,-3.87,0.703,36.36,13.41,66,Unprofitable,Yes
FCX,Alt44,2.13,1.108,40.54,10.58,37,Scratch,Yes
GOOGL,Alt44,6.91,1.242,42.22,10.28,45,Profitable,Yes
AMZN,Alt44,14.70,1.885,54.24,7.66,59,Profitable,Yes
WMT,Alt44,17.04,1.932,60.78,9.41,51,Very Profitable,Yes
XOM,Alt44,-4.57,0.721,42.42,11.26,33,Unprofitable,Yes
JPM,Alt44,-0.54,0.964,44.19,7.21,43,Scratch,Yes
UNH,Alt44,17.77,12.861,86.67,31.91,30,Legendary,Yes
CAT,Alt44,18.83,1.728,58.70,10.44,46,Very Profitable,Yes
PLD,Alt44,-1.30,0.888,46.15,9.11,26,Unprofitable,Yes
MSFT,Alt44,12.67,1.512,50.75,10.51,67,Profitable,Yes
DUK,Alt44,-15.67,0.014,4.76,15.67,21,Catastrophic,Yes
SPY,Alt44,16.13,1.955,55.81,7.43,43,Profitable,Yes
QQQ,Alt44,-3.44,0.879,42.86,13.79,63,Unprofitable,Yes
XLE,Alt44,-8.71,0.503,29.41,12.43,34,Unprofitable,Yes
XLF,Alt44,4.99,1.362,58.14,9.16,43,Profitable,Yes
XLV,Alt44,6.58,1.276,49.02,13.47,51,Profitable,Yes
XLI,Alt44,9.25,1.586,50.00,8.04,40,Profitable,Yes
XLP,Alt44,-12.82,0.159,19.23,12.82,26,Very Unprofitable,Yes
XLY,Alt44,5.50,1.518,55.88,5.27,34,Profitable,Yes
XLRE,Alt44,-7.67,0.000,0.00,7.67,10,Zero Wins,Yes
XLU,Alt44,-9.48,0.224,23.08,10.71,26,Unprofitable,Yes
FCX,Alt45,-6.47,0.805,30.16,14.24,63,Unprofitable,Yes
GOOGL,Alt45,24.51,1.799,51.47,8.05,68,Very Profitable,Yes
AMZN,Alt45,20.29,1.593,53.76,11.76,93,Very Profitable,Yes
WMT,Alt45,21.17,1.988,51.67,8.88,60,Very Profitable,Yes
XOM,Alt45,-6.16,0.809,40.35,14.25,57,Unprofitable,Yes
JPM,Alt45,2.08,1.01,50.72,10.51,69,Scratch,Yes
UNH,Alt45,27.07,2.05,56.92,7.60,65,Very Profitable,Yes
CAT,Alt45,28.62,1.714,58.46,10.43,65,Very Profitable,Yes
PLD,Alt45,16.53,2.324,60.42,5.95,48,Very Profitable,Yes
MSFT,Alt45,21.02,1.886,54.05,8.61,74,Very Profitable,Yes
DUK,Alt45,-11.45,0.602,39.66,19.94,58,Unprofitable,Yes
SPY,Alt45,15.10,1.32,49.43,10.80,87,Profitable,Yes
QQQ,Alt45,29.23,1.635,53.85,8.35,104,Very Profitable,Yes
XLE,Alt45,4.30,1.158,45.61,14.70,57,Profitable,Yes
XLF,Alt45,4.91,1.202,52.70,9.84,74,Profitable,Yes
XLV,Alt45,29.70,2.361,64.29,10.19,70,Very Profitable,Yes
XLI,Alt45,0.46,0.957,47.83,13.10,69,Scratch,Yes
XLP,Alt45,4.35,1.171,53.62,14.83,69,Profitable,Yes
XLY,Alt45,22.01,1.731,62.82,10.99,78,Very Profitable,Yes
XLRE,Alt45,-7.73,0.568,39.39,11.90,33,Unprofitable,Yes
XLU,Alt45,-7.46,0.611,36.51,14.24,63,Unprofitable,Yes
FCX,Alt46,-6.47,,,,,,Unprofitable,Yes
GOOGL,Alt46,23.19,1.846,54.17,8.06,72,Very Profitable,Yes
AMZN,Alt46,20.59,1.601,54.00,11.10,100,Very Profitable,Yes
WMT,Alt46,24.67,2.119,52.46,8.88,61,Very Profitable,Yes
XOM,Alt46,-8.03,0.749,39.66,14.57,58,Unprofitable,Yes
JPM,Alt46,1.42,0.994,51.52,10.51,66,Scratch,Yes
UNH,Alt46,32.16,2.234,57.58,7.61,66,Very Profitable,Yes
CAT,Alt46,28.22,1.822,61.54,11.01,65,Very Profitable,Yes
PLD,Alt46,20.87,2.651,58.82,5.32,51,Very Profitable,Yes
MSFT,Alt46,26.31,2.085,52.00,8.23,75,Very Profitable,Yes
DUK,Alt46,-12.79,0.559,36.36,19.93,55,Unprofitable,Yes
SPY,Alt46,18.66,1.403,50.00,10.93,84,Profitable,Yes
QQQ,Alt46,24.06,1.51,54.17,8.38,96,Very Profitable,Yes
XLE,Alt46,5.81,1.211,44.83,13.63,58,Profitable,Yes
XLF,Alt46,1.83,1.099,54.93,10.63,71,Scratch,Yes
XLV,Alt46,34.80,2.688,63.08,8.91,65,Very Profitable,Yes
XLI,Alt46,3.91,1.082,46.38,12.52,69,Profitable,Yes
XLP,Alt46,-0.39,1.016,51.61,15.11,62,Scratch,Yes
XLY,Alt46,21.62,1.686,60.53,11.77,76,Very Profitable,Yes
XLRE,Alt46,-7.78,0.566,37.50,11.50,32,Unprofitable,Yes
XLU,Alt46,-6.17,0.703,36.36,13.41,66,Unprofitable,Yes
FCX,Alt47,-3.16,0.894,30.67,13.67,75,Unprofitable,Yes
GOOGL,Alt47,25.09,1.944,55.29,7.58,85,Very Profitable,Yes
AMZN,Alt47,14.86,1.507,54.95,9.46,111,Profitable,Yes
WMT,Alt47,28.59,2.325,50.00,8.39,78,Very Profitable,Yes
XOM,Alt47,-4.74,0.815,40.00,10.73,65,Unprofitable,Yes
JPM,Alt47,-1.49,0.877,50.00,10.11,66,Unprofitable,Yes
UNH,Alt47,24.75,1.948,53.33,7.54,75,Very Profitable,Yes
CAT,Alt47,21.16,3.194,60.00,3.96,45,Very Profitable,Yes
PLD,Alt47,20.98,3.082,56.45,4.73,62,Very Profitable,Yes
MSFT,Alt47,33.61,2.545,58.82,7.44,85,Very Profitable,Yes
DUK,Alt47,-5.41,0.731,41.82,11.26,55,Unprofitable,Yes
SPY,Alt47,7.91,1.451,47.27,8.69,55,Profitable,Yes
QQQ,Alt47,12.28,1.694,50.79,9.25,63,Profitable,Yes
XLE,Alt47,9.57,1.39,47.30,12.87,74,Profitable,Yes
XLF,Alt47,-1.51,0.969,52.50,11.26,80,Unprofitable,Yes
XLV,Alt47,29.72,2.319,60.76,11.55,79,Very Profitable,Yes
XLI,Alt47,7.54,1.232,47.37,10.70,76,Profitable,Yes
XLP,Alt47,-3.18,0.867,50.00,15.75,74,Unprofitable,Yes
XLY,Alt47,25.23,1.833,58.24,11.46,91,Very Profitable,Yes
XLRE,Alt47,-11.75,0.186,25.81,11.75,31,Unprofitable,Yes
XLU,Alt47,-6.56,0.608,34.85,12.18,66,Unprofitable,Yes
